INFO 2025-05-01 10:37:58,803 basehttp 187 "GET /static/admin/simpleui-x/locale/en-us.js?_=2024.4.1 HTTP/1.1" 304 0
INFO 2025-05-01 10:37:58,803 basehttp 187 "GET /static/admin/simpleui-x/locale/zh-hans.js?_=2024.4.1 HTTP/1.1" 304 0
INFO 2025-05-01 10:37:58,803 basehttp 187 "GET /static/admin/simpleui-x/js/cookie.js?_=2024.4.1 HTTP/1.1" 304 0
INFO 2025-05-01 10:37:58,808 basehttp 187 "GET /static/admin/simpleui-x/theme/theme.js?_=2024.4.1 HTTP/1.1" 304 0
INFO 2025-05-01 10:37:58,808 basehttp 187 "GET /static/admin/simpleui-x/waves/waves.min.js?_=2024.4.1 HTTP/1.1" 304 0
INFO 2025-05-01 10:37:58,808 basehttp 187 "GET /static/admin/simpleui-x/js/menu.js?_=2024.4.1 HTTP/1.1" 304 0
INFO 2025-05-01 10:37:58,809 basehttp 187 "GET /static/admin/simpleui-x/js/index.js?_=2024.4.1 HTTP/1.1" 304 0
INFO 2025-05-01 10:37:58,879 basehttp 187 "GET /static/admin/simpleui-x/theme/gray.css HTTP/1.1" 304 0
INFO 2025-05-01 10:37:58,918 basehttp 187 "GET /static/admin/simpleui-x/elementui/theme-chalk/fonts/element-icons.woff HTTP/1.1" 304 0
INFO 2025-05-01 10:37:58,919 basehttp 187 "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
WARNING 2025-05-01 10:37:58,977 log 241 Not Found: /favicon.ico
WARNING 2025-05-01 10:37:58,987 basehttp 187 "GET /favicon.ico HTTP/1.1" 404 2446
INFO 2025-05-01 10:38:00,438 basehttp 187 "GET /home/ HTTP/1.1" 200 7535
INFO 2025-05-01 10:38:05,547 basehttp 187 "GET /admin/index/basesettings HTTP/1.1" 301 0
INFO 2025-05-01 10:38:05,567 basehttp 187 "GET /admin/index/basesettings/ HTTP/1.1" 200 26054
INFO 2025-05-01 10:38:05,598 basehttp 187 "GET /static/admin/simpleui-x/locale/zh-hans.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,598 basehttp 187 "GET /static/admin/simpleui-x/css/base.css?_=2.7 HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,598 basehttp 187 "GET /static/admin/simpleui-x/js/language.js?_=2.1.2 HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,598 basehttp 187 "GET /static/admin/css/base.css?_=2.7 HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,598 basehttp 187 "GET /static/admin/simpleui-x/locale/en-us.js?_=2.1.2 HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,598 basehttp 187 "GET /static/admin/simpleui-x/theme/simpleui.css HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,605 basehttp 187 "GET /static/admin/css/changelists.css?_=20180905 HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,606 basehttp 187 "GET /static/admin/simpleui-x/js/cookie.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,608 basehttp 187 "GET /static/admin/css/responsive.css?_=20180905 HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,609 basehttp 187 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,610 basehttp 187 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,610 basehttp 187 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,615 basehttp 187 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,615 basehttp 187 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,615 basehttp 187 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,615 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:05,616 basehttp 187 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
